Application ID,Name,Email,Cohort,Submission Date
APP7473,User159,User159@example.com,Python Basics,2024-10-28
APP1951,User290,User290@example.com,Data Science 101,2024-11-17
APP8416,User149,User149@example.com,Python Basics,2024-11-09
APP4670,User202,User202@example.com,Python Basics,2024-11-21
APP1570,User773,User773@example.com,Python Basics,2024-11-13
APP4049,User510,User510@example.com,Data Science 101,2024-11-23
APP5869,User204,User204@example.com,AI Bootcamp,2024-10-26
APP8792,User690,User690@example.com,AI Bootcamp,2024-11-14
APP9350,User565,User565@example.com,Python Basics,2024-11-13
APP4376,User231,User231@example.com,Python Basics,2024-11-02
APP7731,User874,User874@example.com,Python Basics,2024-11-13
APP1024,User551,User551@example.com,Python Basics,2024-11-18
APP3421,User595,User595@example.com,Data Science 101,2024-11-11
APP7235,User629,User629@example.com,Data Science 101,2024-11-14
APP3551,User942,User942@example.com,AI Bootcamp,2024-11-24
APP1297,User834,User834@example.com,Data Science 101,2024-10-29
APP3198,User293,User293@example.com,AI Bootcamp,2024-11-22
APP2017,User260,User260@example.com,Python Basics,2024-11-23
APP1469,User612,User612@example.com,Data Science 101,2024-11-14
APP2785,User812,User812@example.com,Data Science 101,2024-11-11
APP3492,User496,User496@example.com,AI Bootcamp,2024-10-26
APP1536,User191,User191@example.com,Data Science 101,2024-11-12
APP4153,User848,User848@example.com,Python Basics,2024-11-08
APP7733,User203,User203@example.com,Data Science 101,2024-11-19
APP5482,User771,User771@example.com,Data Science 101,2024-11-12
APP6931,User474,User474@example.com,Python Basics,2024-11-02
APP1494,User526,User526@example.com,Python Basics,2024-11-21
APP8911,User807,User807@example.com,Python Basics,2024-11-09
APP4633,User921,User921@example.com,Python Basics,2024-11-05
APP1310,User591,User591@example.com,Python Basics,2024-10-28
APP2044,User178,User178@example.com,Data Science 101,2024-11-06
APP7590,User539,User539@example.com,AI Bootcamp,2024-11-19
APP5871,User904,User904@example.com,Data Science 101,2024-11-14
APP5447,User820,User820@example.com,Python Basics,2024-11-09
APP4009,User681,User681@example.com,Data Science 101,2024-11-08
APP2358,User527,User527@example.com,Data Science 101,2024-11-06
APP2523,User139,User139@example.com,Python Basics,2024-11-23
APP7052,User626,User626@example.com,Data Science 101,2024-11-02
APP6038,User244,User244@example.com,Python Basics,2024-11-21
APP5541,User768,User768@example.com,Python Basics,2024-11-01
APP4051,User212,User212@example.com,Data Science 101,2024-11-08
APP6962,User795,User795@example.com,Python Basics,2024-10-31
APP4570,User961,User961@example.com,Data Science 101,2024-11-04
APP1090,User419,User419@example.com,AI Bootcamp,2024-11-10
APP8982,User174,User174@example.com,Python Basics,2024-10-29
APP2163,User305,User305@example.com,Python Basics,2024-11-11
APP1323,User534,User534@example.com,Data Science 101,2024-11-14
APP7948,User424,User424@example.com,Data Science 101,2024-11-19
APP9163,User544,User544@example.com,Data Science 101,2024-11-01
APP6773,User113,User113@example.com,Data Science 101,2024-11-02
APP4927,User996,User996@example.com,Data Science 101,2024-11-05
APP7557,User693,User693@example.com,AI Bootcamp,2024-11-11
APP1773,User665,User665@example.com,Data Science 101,2024-11-24
APP6252,User581,User581@example.com,Data Science 101,2024-11-16
APP2451,User606,User606@example.com,Python Basics,2024-11-07
APP6847,User184,User184@example.com,Python Basics,2024-11-07
APP8284,User324,User324@example.com,Data Science 101,2024-11-02
APP9426,User806,User806@example.com,AI Bootcamp,2024-11-16
APP3047,User372,User372@example.com,Python Basics,2024-11-04
APP7190,User552,User552@example.com,AI Bootcamp,2024-10-31
APP7521,User343,User343@example.com,Data Science 101,2024-11-22
APP7612,User258,User258@example.com,Data Science 101,2024-11-07
APP8112,User914,User914@example.com,AI Bootcamp,2024-11-21
APP5447,User280,User280@example.com,AI Bootcamp,2024-11-01
APP1413,User308,User308@example.com,AI Bootcamp,2024-11-04
APP8651,User755,User755@example.com,Python Basics,2024-11-04
APP7863,User681,User681@example.com,AI Bootcamp,2024-11-22
APP7657,User492,User492@example.com,AI Bootcamp,2024-10-30
APP3306,User420,User420@example.com,AI Bootcamp,2024-11-24
APP5680,User260,User260@example.com,Data Science 101,2024-11-20
APP4611,User808,User808@example.com,AI Bootcamp,2024-11-07
APP5175,User754,User754@example.com,Data Science 101,2024-11-17
APP9701,User886,User886@example.com,Python Basics,2024-10-27
APP7226,User825,User825@example.com,Python Basics,2024-11-14
APP2354,User978,User978@example.com,AI Bootcamp,2024-11-12
APP6341,User432,User432@example.com,AI Bootcamp,2024-11-24
APP9227,User792,User792@example.com,Data Science 101,2024-11-14
APP2939,User191,User191@example.com,AI Bootcamp,2024-11-04
APP3181,User760,User760@example.com,AI Bootcamp,2024-11-23
APP6292,User985,User985@example.com,Python Basics,2024-10-31
APP3187,User195,User195@example.com,AI Bootcamp,2024-11-03
APP5699,User607,User607@example.com,AI Bootcamp,2024-11-15
APP5098,User190,User190@example.com,AI Bootcamp,2024-11-01
APP5385,User266,User266@example.com,Data Science 101,2024-11-19
APP3035,User784,User784@example.com,Data Science 101,2024-10-27
APP3541,User783,User783@example.com,Data Science 101,2024-11-04
APP6772,User290,User290@example.com,Data Science 101,2024-10-28
APP7087,User926,User926@example.com,Python Basics,2024-11-18
APP5146,User948,User948@example.com,Python Basics,2024-11-01
APP1973,User307,User307@example.com,Python Basics,2024-11-04
APP3383,User752,User752@example.com,Data Science 101,2024-11-19
APP2920,User891,User891@example.com,Python Basics,2024-11-17
APP8501,User384,User384@example.com,Data Science 101,2024-10-31
APP9391,User256,User256@example.com,AI Bootcamp,2024-10-31
APP1539,User394,User394@example.com,Python Basics,2024-11-01
APP5447,User840,User840@example.com,Python Basics,2024-11-05
APP4853,User239,User239@example.com,AI Bootcamp,2024-11-01
APP1408,User769,User769@example.com,Python Basics,2024-10-26
APP4473,User223,User223@example.com,Python Basics,2024-11-19
APP4789,User468,User468@example.com,AI Bootcamp,2024-10-26
APP8132,User624,User624@example.com,AI Bootcamp,2024-11-11
APP7387,User144,User144@example.com,AI Bootcamp,2024-11-01
APP6779,User372,User372@example.com,Python Basics,2024-11-13
APP3414,User752,User752@example.com,Data Science 101,2024-11-03
APP4809,User487,User487@example.com,Data Science 101,2024-10-28
APP7216,User794,User794@example.com,Python Basics,2024-11-07
APP3780,User500,User500@example.com,Data Science 101,2024-11-10
APP8416,User618,User618@example.com,AI Bootcamp,2024-11-07
APP2711,User879,User879@example.com,AI Bootcamp,2024-11-22
APP4282,User933,User933@example.com,Python Basics,2024-11-03
APP9687,User396,User396@example.com,Python Basics,2024-11-16
APP5977,User761,User761@example.com,Python Basics,2024-11-01
APP2551,User826,User826@example.com,AI Bootcamp,2024-11-15
APP1670,User990,User990@example.com,Data Science 101,2024-11-10
APP7231,User290,User290@example.com,AI Bootcamp,2024-11-21
APP5770,User989,User989@example.com,Python Basics,2024-11-20
APP1519,User730,User730@example.com,Python Basics,2024-11-02
